波长(nm),相对强度
-172.846046,124.0
-172.54321699999997,69.0
-172.240388,114.0
-171.937559,113.0
-171.63473,102.0
-171.331901,115.0
-171.02907199999999,77.0
-170.72624299999998,29.0
-170.42341399999998,41.0
-170.120585,33.0
-169.81775599999997,50.0
-169.514927,104.0
-169.21209799999997,109.0
-168.909269,55.0
-168.60644,80.0
-168.303611,111.0
-168.000782,94.0
-167.69795299999998,84.0
-167.39512399999998,46.0
-167.09229499999998,44.0
-166.789466,95.0
-166.48663699999997,120.0
-166.183808,131.0
-165.88097899999997,132.0
-165.57815,121.0
-165.275321,98.0
-164.972492,55.0
-164.66966299999999,116.0
-164.36683399999998,134.0
-164.06400499999998,50.0
-163.76117599999998,40.0
-163.458347,90.0
-163.15551799999997,56.0
-162.852689,48.0
-162.54985999999997,126.0
-162.247031,73.0
-161.944202,89.0
-161.641373,131.0
-161.33854399999998,143.0
-161.03571499999998,143.0
-160.732886,171.0
-160.43005699999998,179.0
-160.127228,184.0
-159.82439899999997,136.0
-159.52157,61.0
-159.218741,125.0
-158.915912,146.0
-158.613083,98.0
-158.310254,100.0
-158.00742499999998,147.0
-157.70459599999998,89.0
-157.401767,127.0
-157.09893799999998,104.0
-156.796109,89.0
-156.49327999999997,124.0
-156.190451,110.0
-155.887622,162.0
-155.584793,139.0
-155.281964,171.0
-154.97913499999999,142.0
-154.67630599999998,104.0
-154.37347699999998,163.0
-154.070648,92.0
-153.76781899999997,145.0
-153.46499,87.0
-153.16216099999997,126.0
-152.859332,187.0
-152.556503,189.0
-152.253674,197.0
-151.950845,155.0
-151.64801599999998,125.0
-151.34518699999998,132.0
-151.04235799999998,168.0
-150.739529,146.0
-150.43669999999997,98.0
-150.133871,141.0
-149.83104199999997,179.0
-149.528213,177.0
-149.225384,196.0
-148.922555,164.0
-148.61972599999999,121.0
-148.31689699999998,160.0
-148.01406799999998,178.0
-147.71123899999998,127.0
-147.40841,147.0
-147.10558099999997,168.0
-146.802752,187.0
-146.49992299999997,155.0
-146.197094,127.0
-145.894265,140.0
-145.591436,174.0
-145.28860699999998,221.0
-144.98577799999998,200.0
-144.68294899999998,206.0
-144.38011999999998,171.0
-144.077291,139.0
-143.77446199999997,150.0
-143.471633,150.0
-143.16880399999997,164.0
-142.865975,146.0
-142.563146,153.0
-142.260317,135.0
-141.95748799999998,182.0
-141.65465899999998,213.0
-141.35183,153.0
-141.04900099999998,152.0
-140.746172,126.0
-140.44334299999997,111.0
-140.140514,86.0
-139.837685,127.0
-139.534856,140.0
-139.232027,104.0
-138.92919799999999,181.0
-138.62636899999998,159.0
-138.32353999999998,212.0
-138.020711,215.0
-137.71788199999997,228.0
-137.415053,161.0
-137.11222399999997,132.0
-136.809395,148.0
-136.506566,115.0
-136.203737,91.0
-135.900908,120.0
-135.59807899999998,103.0
-135.29524999999998,187.0
-134.99242099999998,210.0
-134.689592,232.0
-134.38676299999997,177.0
-134.083934,186.0
-133.78110499999997,177.0
-133.478276,161.0
-133.175447,210.0
-132.872618,166.0
-132.569789,188.0
-132.26695999999998,178.0
-131.96413099999998,147.0
-131.66130199999998,203.0
-131.358473,170.0
-131.05564399999997,222.0
-130.752815,241.0
-130.44998599999997,255.0
-130.147157,190.0
-129.844328,184.0
-129.541499,171.0
-129.23866999999998,166.0
-128.93584099999998,250.0
-128.63301199999998,239.0
-128.33018299999998,231.0
-128.027354,265.0
-127.72452499999999,235.0
-127.42169599999998,268.0
-127.11886699999998,278.0
-126.81603799999999,208.0
-126.51320899999999,267.0
-126.21037999999999,219.0
-125.90755099999998,270.0
-125.60472199999998,227.0
-125.30189299999998,276.0
-124.99906399999999,313.0
-124.69623499999999,253.0
-124.39340599999998,280.0
-124.09057699999998,230.0
-123.78774799999998,229.0
-123.48491899999999,229.0
-123.18208999999999,194.0
-122.87926099999999,219.0
-122.57643199999998,185.0
-122.27360299999998,276.0
-121.97077399999999,216.0
-121.66794499999999,176.0
-121.36511599999999,171.0
-121.06228699999998,210.0
-120.75945799999998,189.0
-120.45662899999999,249.0
-120.15379999999999,229.0
-119.85097099999999,263.0
-119.54814199999998,178.0
-119.24531299999998,260.0
-118.94248399999998,194.0
-118.63965499999999,256.0
-118.33682599999999,237.0
-118.03399699999999,331.0
-117.73116799999998,246.0
-117.42833899999998,249.0
-117.12550999999999,241.0
-116.82268099999999,215.0
-116.51985199999999,200.0
-116.21702299999998,281.0
